Frase,Respuesta,Categoría
deseo mas informacion,"¡Hola! Soy Ana, asistente del Dr. Guzmán 😊. ¿Qué info necesitas hoy: 💳 costo, 🕒 horarios, 📍 dirección o 📅 agendar cita?",saludo
mas informacion,"¡Con gusto! ¿Te comparto costo, horarios, dirección o agendar cita? 🙂",saludo
informacion,"¡Aquí para ayudarte! ¿Buscas costo, horarios, dirección o agendar cita? 🙌",saludo

costo,"💳 **Costo de la consulta:** 45 USD. Incluye valoración nutricional, educación diabetológica, evaluación de pies/neuropatía, riesgo CV/renal y ECG cuando sea necesario. ¿Te comparto horarios o la dirección que te quede mejor? 🕒📍",costo
cuanto vale,"💳 La consulta tiene un valor de **45 USD**. ⏱️ Dura ~60 min e incluye valoración integral. ¿Prefieres ver horarios o dirección? 🙂",costo
cuanto cuesta,"💳 Son **45 USD** por consulta. ¿Te paso horarios o dirección? 🙌",costo
precio de la consulta,"💳 **45 USD** por consulta. ¿Deseas que te envíe horarios o la dirección? 🙂",costo
valor de la consulta,"💳 **45 USD**. Incluye evaluación completa y plan personalizado.",costo
tarifa,"💳 La tarifa es **45 USD** por consulta.",costo

horarios,"🕒 **Horarios (con cita previa):** L–V 08:00–12:00 y 16:00–19:30 | Sáb 09:00–16:00 | Dom solo emergencias. ¿Te ayudo a agendar? 📅",horarios
que horarios tienen,"🕒 L–V 08:00–12:00 y 16:00–19:30. Sáb 09:00–16:00. Dom solo emergencias. ¿Quieres reservar? 🙂",horarios
cuando atienden,"🕒 Atendemos con cita previa. ¿Te agendo en el horario que prefieras (mañana o tarde)?",horarios
a que hora atienden,"🕒 L–V mañana/tarde, Sáb 09:00–16:00. ¿Deseas agendar? 📅",horarios
disponibilidad,"🕒 Tenemos disponibilidad por la mañana y tarde. ¿Qué día te viene bien?",horarios

direccion,"¡Claro, con mucho gusto! 🙌 Gracias por tu interés. Para ayudarte mejor, ¿prefieres ser atendid@ en **Guayaquil** o en **Milagro**?",direccion_ambigua
ubicacion,"Gracias por escribirnos 😊. ¿Te queda mejor **Guayaquil** o **Milagro**?",direccion_ambigua
donde quedan,"Con gusto te indico. ¿Prefieres **Guayaquil** o **Milagro**?",direccion_ambigua
donde es,"¿Deseas atención en **Guayaquil** o **Milagro**? Así te envío la dirección exacta.",direccion_ambigua
de donde son,"Atendemos en **Guayaquil** y **Milagro**. ¿Cuál prefieres para pasarte la dirección?",direccion_ambigua
como llegar,"¿Para **Guayaquil** o **Milagro**? Te comparto el pin de GPS. 🗺️",direccion_ambigua
en donde atienden,"¿En **Guayaquil** o **Milagro**? Te envío la ubicación exacta. 📍",direccion_ambigua
donde estan,"¿Prefieres **Guayaquil** o **Milagro**?",direccion_ambigua
quedan por,"¿Buscas atención en **Guayaquil** o **Milagro**?",direccion_ambigua
quedan en,"¿Te queda mejor **Guayaquil** o **Milagro**?",direccion_ambigua
queda por,"¿Sería en **Guayaquil** o **Milagro**?",direccion_ambigua
queda en,"¿En **Guayaquil** o **Milagro**?",direccion_ambigua

guayaquil,"📍 **Guayaquil**: Hospital de Especialidades de la Ciudad (Ant. Clínica Kennedy Alborada), Torre Sur, Consultorio 204. 🗺️ GPS: https://maps.app.goo.gl/7J8v9V9RJHfxADfz7. ¿Deseas agendar en esta sede? 📅",direccion_gye
direccion guayaquil,"📍 **Guayaquil**: Hospital de Especialidades (Torre Sur, Cons. 204). 🗺️ GPS: https://maps.app.goo.gl/7J8v9V9RJHfxADfz7. ¿Te ayudo a reservar?",direccion_gye
kennedy,"📍 **Guayaquil** (Kennedy/Alborada): Hospital de Especialidades, Torre Sur, Cons. 204. GPS arriba. ¿Agendamos? 🙂",direccion_gye
alborada,"📍 **Guayaquil** (Alborada): Hospital de Especialidades, Torre Sur, Cons. 204. 🗺️ GPS en el enlace. ¿Deseas cita?",direccion_gye

milagro,"📍 **Milagro**: Clínica Santa Elena, Av. Cristóbal Colón y Gral. P. J. Montero. 🗺️ GPS: https://maps.app.goo.gl/sE2ehFSeDVWAQj867. ¿Deseas agendar en esta sede? 📅",direccion_mil
direccion milagro,"📍 **Milagro**: Clínica Santa Elena (Av. Cristóbal Colón y Gral. P. J. Montero). 🗺️ GPS: https://maps.app.goo.gl/sE2ehFSeDVWAQj867. ¿Reservamos? 🙂",direccion_mil
santa elena,"📍 **Milagro** (Clínica Santa Elena): Av. Cristóbal Colón y Gral. P. J. Montero. GPS arriba. ¿Te ayudo a agendar?",direccion_mil

quiero agendar una cita,"📅 ¡Perfecto! Para agendar me ayudas con: **nombres y apellidos**, **Nº de cédula**, **fecha de nacimiento** y **correo** (opcional). Luego dime el **día** y si prefieres **mañana** o **tarde** para coordinar la hora exacta. 🙂",agendar
como hago para agendar,"📅 Con gusto. Envíame: nombres/apellidos, cédula, fecha de nacimiento y correo (opcional). Después el **día** + **mañana/tarde**.",agendar
necesito una cita,"📅 Te ayudo a reservar. ¿Me compartes tus datos (nombres, cédula, fecha de nacimiento y correo si tienes)? Luego día y **mañana/tarde**.",agendar
reservar cita,"📅 De acuerdo. Envíame tus datos y elige **día** + **mañana/tarde** para coordinar hora exacta. 🙌",agendar
sacar cita,"📅 Listo. Compárteme tus datos y tu disponibilidad (mañana/tarde).",agendar

es una emergencia,"⚠️ Si es **emergencia**, puedo ayudarte a agendar prioridad o comunicarte con el Dr. Guzmán al **0962062122**. ¿Cómo prefieres proceder?",urgencias
tengo una emergencia,"⚠️ Entendido. ¿Deseas que llame el Dr. Guzmán (**0962062122**) o prefieres agendar prioridad ahora?",urgencias
urgente,"⚠️ Puedo conectarte con el Dr. (**0962062122**) o agendarte de inmediato. Dime qué necesitas.",urgencias

gracias,"¡Gracias a ti por escribirnos! 🤗 ¿Te gustaría recibir **consejos breves** y prácticos para el manejo de tu diabetes (1 por vez)?",agradecer
ok gracias,"¡Con gusto! 🙌 ¿Te envío **tips útiles** para tu cuidado diario?",agradecer
solo consultaba,"¡Gracias por tu interés! ¿Quieres que te comparta **un tip corto** de salud para diabetes?",agradecer
solo estaba mirando,"¡Perfecto! Si deseas, te envío **un consejo breve** para tu cuidado. ¿Te gustaría?",agradecer
no por ahora,"¡Listo! Quedo atenta si más adelante deseas agendar o tienes otra consulta. 🙌",cierre
no gracias,"¡Entendido! Aquí estaré para ayudarte cuando lo necesites. 🙂",cierre
si,"¡Genial! Te enviaré un tip breve ahora mismo. 👍",tips_si
claro,"¡Perfecto! Aquí va un tip práctico. 🙌",tips_si
me gustaria,"¡Con gusto! Te comparto un consejo útil. 🙂",tips_si
me duele,"Siento mucho ese malestar 🤍. Para orientarnos mejor, ¿del **1 al 10** cuánto duele y **desde cuándo** lo sientes? Estás en el lugar preciso; podemos ayudarte a **mejorar tu calidad de vida**. Si deseas, puedo **contactar al Dr. Guzmán** para que revise tu caso a la brevedad.",dolor
